rank,player_name,points,player_url,scraped_at
172,L. Mikrut,328,/en/players/luka-mikrut/m0n1/overview,2026-07-14T15:18:08.978153
173,J. Prado Angelo,327,/en/players/juan-carlos-prado-angelo/p0iy/overview,2026-07-14T15:18:08.978153
174,U. Blanchet,326,/en/players/ugo-blanchet/bv16/overview,2026-07-14T15:18:08.978153
175,M. Cecchinato,323,/en/players/marco-cecchinato/cf01/overview,2026-07-14T15:18:08.978153
176,G. Bueno,322,/en/players/gonzalo-bueno/b0gr/overview,2026-07-14T15:18:08.978153
177,Y. Nishioka,321,/en/players/yoshihito-nishioka/n732/overview,2026-07-14T15:18:08.978153
178,C. Tabur,319,/en/players/clement-tabur/t09x/overview,2026-07-14T15:18:08.978153
179,R. Bertola,319,/en/players/remy-bertola/bu70/overview,2026-07-14T15:18:08.978153
180,R. Bautista Agut,318,/en/players/roberto-bautista-agut/bd06/overview,2026-07-14T15:18:08.978153
181,C. Smith,317,/en/players/colton-smith/s0ze/overview,2026-07-14T15:18:08.978153
182,F. Passaro,314,/en/players/francesco-passaro/p0ct/overview,2026-07-14T15:18:08.978153
183,E. Ymer,313,/en/players/elias-ymer/y218/overview,2026-07-14T15:18:08.978153
184,F. Cina,312,/en/players/federico-cina/c0nb/overview,2026-07-14T15:18:08.978153
185,L. Klein,312,/en/players/lukas-klein/ki63/overview,2026-07-14T15:18:08.978153
186,J. Kym,310,/en/players/jerome-kym/k0ep/overview,2026-07-14T15:18:08.978153
187,L. Harris,309,/en/players/lloyd-harris/hg86/overview,2026-07-14T15:18:08.978153
188,M. Mmoh,307,/en/players/michael-mmoh/mp01/overview,2026-07-14T15:18:08.978153
189,D. Jorda Sanchis,305,/en/players/david-jorda-sanchis/j476/overview,2026-07-14T15:18:08.978153
190,E. Moller,302,/en/players/elmer-moller/m0k4/overview,2026-07-14T15:18:08.978153
191,C. Rodesch,302,/en/players/chris-rodesch/r0e0/overview,2026-07-14T15:18:08.978153
192,A. Holmgren,301,/en/players/august-holmgren/h09n/overview,2026-07-14T15:18:08.978153
193,G. Cadenasso,296,/en/players/gianluca-cadenasso/c0nn/overview,2026-07-14T15:18:08.978153
194,T. Daniel,285,/en/players/taro-daniel/da81/overview,2026-07-14T15:18:08.978153
195,V. Sachko,284,/en/players/vitaliy-sachko/ss25/overview,2026-07-14T15:18:08.978153
196,L. Giustino,283,/en/players/lorenzo-giustino/ga79/overview,2026-07-14T15:18:08.978153
197,C. Taberner,282,/en/players/carlos-taberner/te16/overview,2026-07-14T15:18:08.978153
198,L. Broady,282,/en/players/liam-broady/bi23/overview,2026-07-14T15:18:08.978153
199,K. Coppejans,282,/en/players/kimmer-coppejans/cg33/overview,2026-07-14T15:18:08.978153
200,H. Mayot,281,/en/players/harold-mayot/m0g4/overview,2026-07-14T15:18:08.978153
201,G. Olivieri,280,/en/players/genaro-alberto-olivieri/o660/overview,2026-07-14T15:18:08.978153
202,H. Wendelken,276,/en/players/harry-wendelken/w0ah/overview,2026-07-14T15:18:08.978153
203,G. Bailly,273,/en/players/gilles-arnaud-bailly/b0qc/overview,2026-07-14T15:18:08.978153
204,K. Smith,273,/en/players/keegan-smith/s0dq/overview,2026-07-14T15:18:08.978153
205,D. Rincon,272,/en/players/daniel-rincon/r0fp/overview,2026-07-14T15:18:08.978153
206,B. Tomic,271,/en/players/bernard-tomic/ta46/overview,2026-07-14T15:18:08.978153
207,C. Chidekh,271,/en/players/clement-chidekh/c0bh/overview,2026-07-14T15:18:08.978153
208,P. Martin Tiffon,269,/en/players/pol-martin-tiffon/m0ea/overview,2026-07-14T15:18:08.978153
209,F. Gomez,268,/en/players/federico-agustin-gomez/gj16/overview,2026-07-14T15:18:08.978153
210,Y. Hsu,268,/en/players/yu-hsiou-hsu/h09f/overview,2026-07-14T15:18:08.978153
211,M. Kouame,263,/en/players/moise-kouame/k0o4/overview,2026-07-14T15:18:08.978153
212,T. Gentzsch,263,/en/players/tom-gentzsch/g0ib/overview,2026-07-14T15:18:08.978153
